Mapa,Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ambito,Latitud,Longitud,Altitud,Cve_Carta
30031590,3,Baja California Sur,3,La Paz,1590,San Hilario,R,"24°22´36.832N""","110°58´30.717W""",134,G12D71
30031592,3,Baja California Sur,3,La Paz,1592,San Isidro De Las Palmas,R,"23°54´08.225N""","110°47´35.204W""",15,F12B11
30031593,3,Baja California Sur,3,La Paz,1593,El Bosque De San Isidro,R,"23°55´25.289N""","110°13´39.162W""",220,F12B13
30031594,3,Baja California Sur,3,La Paz,1594,San Isidro,R,"23°38´11.511N""","110°17´14.516W""",141,F12B23
30031597,3,Baja California Sur,3,La Paz,1597,Las Pilas,R,"23°16´30.005N""","110°02´18.435W""",193,F12B33
30031599,3,Baja California Sur,3,La Paz,1599,San Juan Del Aserradero,R,"23°30´02.534N""","110°02´57.458W""",493,F12B23
30031600,3,Baja California Sur,3,La Paz,1600,San Juan Del Rancho,R,"23°37´34.482N""","110°15´44.187W""",167,F12B23
30031602,3,Baja California Sur,3,La Paz,1602,San Luis,R,"23°39´03.647N""","110°16´15.610W""",174,F12B23
30031603,3,Baja California Sur,3,La Paz,1603,San Martin,R,"24°32´07.846N""","111°09´08.113W""",92,G12C69
30031605,3,Baja California Sur,3,La Paz,1605,San Miguel,R,"24°12´49.891N""","110°51´43.035W""",178,G12D81
30031609,3,Baja California Sur,3,La Paz,1609,San Pedro De La Soledad,R,"23°14´34.957N""","109°58´20.728W""",490,F12B44
30031610,3,Baja California Sur,3,La Paz,1610,San Pedro El Frijolar,R,"23°33´53.098N""","110°04´36.875W""",443,F12B23
30031612,3,Baja California Sur,3,La Paz,1612,San Rafael,R,"23°17´44.550N""","110°04´48.846W""",222,F12B33
30031613,3,Baja California Sur,3,La Paz,1613,San Ramon,R,"23°48´14.765N""","109°49´09.881W""",467,F12B14
30031615,3,Baja California Sur,3,La Paz,1615,San Salvador,R,"23°48´11.382N""","109°55´37.377W""",291,F12B14
30031618,3,Baja California Sur,3,La Paz,1618,Santa Teresita,R,"23°56´04.827N""","110°14´34.960W""",214,F12B13
30031620,3,Baja California Sur,3,La Paz,1620,Los Quijote,R,"23°56´30.716N""","109°53´51.697W""",35,F12B14
30031621,3,Baja California Sur,3,La Paz,1621,Santa Gertrudis,R,"23°32´05.800N""","110°04´22.745W""",473,F12B23
30031622,3,Baja California Sur,3,La Paz,1622,Santa Martha,R,"23°52´52.280N""","109°53´41.126W""",161,F12B14
30031627,3,Baja California Sur,3,La Paz,1627,Santa Teresa De La Soledad,R,"23°39´52.520N""","110°11´53.931W""",286,F12B23
30031628,3,Baja California Sur,3,La Paz,1628,Santa Victoria,R,"24°16´04.843N""","110°15´27.612W""",20,G12D73
30031630,3,Baja California Sur,3,La Paz,1630,El Sargento,R,"24°04´54.007N""","109°59´37.281W""",18,G12D84
30031631,3,Baja California Sur,3,La Paz,1631,San Antonio,R,"24°33´46.979N""","111°27´36.772W""",30,G12C68
30031632,3,Baja California Sur,3,La Paz,1632,Los Sauces,R,"23°41´41.460N""","110°04´42.585W""",540,F12B23
30031633,3,Baja California Sur,3,La Paz,1633,Los Sauces,R,"24°22´53.473N""","110°57´31.175W""",141,G12D71
30031634,3,Baja California Sur,3,La Paz,1634,El Bosque,R,"24°50´21.359N""","110°46´17.193W""",426,G12D51
30031644,3,Baja California Sur,3,La Paz,1644,Las Tablitas,R,"24°09´22.723N""","110°13´01.612W""",194,G12D83
30031647,3,Baja California Sur,3,La Paz,1647,El Tecuan,R,"23°49´42.632N""","109°56´54.013W""",191,F12B14
30031648,3,Baja California Sur,3,La Paz,1648,Bernardino,R,"23°44´03.357N""","110°16´58.231W""",199,F12B23
30031652,3,Baja California Sur,3,La Paz,1652,Los Dos Hermanos (El Zorillo),R,"24°03´45.387N""","110°03´41.806W""",441,G12D83
30031663,3,Baja California Sur,3,La Paz,1663,Las Vinoramas,R,"23°17´34.796N""","110°01´27.559W""",239,F12B33
30031666,3,Baja California Sur,3,La Paz,1666,San Marcos (La Ayuquita),R,"23°56´44.283N""","109°57´41.473W""",40,F12B14
30031667,3,Baja California Sur,3,La Paz,1667,Zacatecas,R,"24°07´57.897N""","110°26´53.944W""",16,G12D82
30031673,3,Baja California Sur,3,La Paz,1673,El Conejo,R,"24°04´37.400N""","111°00´23.027W""",11,G12C89
30031675,3,Baja California Sur,3,La Paz,1675,La Cueva,R,"25°00´34.447N""","110°45´41.103W""",11,G12D41
30031677,3,Baja California Sur,3,La Paz,1677,Los Dolores,R,"25°04´30.711N""","110°51´37.222W""",3,G12D41
30031678,3,Baja California Sur,3,La Paz,1678,Humi,R,"25°01´19.911N""","110°55´19.007W""",407,G12D41
30031679,3,Baja California Sur,3,La Paz,1679,Las Parcelas,R,"24°11´22.657N""","110°31´16.387W""",12,G12D82
30031681,3,Baja California Sur,3,La Paz,1681,Punta Alta,R,"25°00´48.186N""","110°45´36.235W""",12,G12D41
30031686,3,Baja California Sur,3,La Paz,1686,El Agua De Yepis,R,"24°17´20.138N""","110°37´58.063W""",4,G12D72
30031688,3,Baja California Sur,3,La Paz,1688,San Francisco De La Costa,R,"24°31´46.177N""","111°34´00.827W""",22,G12C68
30031689,3,Baja California Sur,3,La Paz,1689,Santa Martha,R,"23°40´49.810N""","110°27´33.099W""",25,F12B22
